Hospital_ID,Hospital_Name,City,Latitude,Longitude,Item_Name,Category,Quantity_Available,Minimum_Required,Status,Expiry_Date
HOSP-1142,Thanjavur Medical College,Thanjavur,10.787,79.1378,N95 Masks,PPE,1113,300,Normal,2026-09-10
HOSP-1143,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Remdesivir Injection,Medicine,186,100,Normal,2027-03-11
HOSP-1144,Thanjavur Medical College,Thanjavur,10.787,79.1378,Ventilator Circuit,Equipment,63,15,Normal,2026-01-04
HOSP-1145,Thanjavur Medical College,Thanjavur,10.787,79.1378,Surgical Gloves (Sterile),Consumables,1743,500,Normal,2026-02-09
HOSP-1146,Salem Govt Hospital,Salem,11.6643,78.146,Oxygen Cylinder (B-Type),Respiratory,79,50,Normal,2026-06-10
HOSP-1147,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Ventilator Circuit,Equipment,44,15,Normal,2026-07-10
HOSP-1148,Salem Govt Hospital,Salem,11.6643,78.146,Ventilator Circuit,Equipment,26,15,Normal,2026-04-06
HOSP-1149,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Surgical Gloves (Sterile),Consumables,654,500,Normal,2027-02-28
HOSP-1150,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Surgical Gloves (Sterile),Consumables,1735,500,Normal,2026-04-03
HOSP-1151,Salem Govt Hospital,Salem,11.6643,78.146,Remdesivir Injection,Medicine,160,100,Normal,2027-08-10
HOSP-1152,Thanjavur Medical College,Thanjavur,10.787,79.1378,Insulin Vials,Medicine,446,150,Normal,2026-07-01
HOSP-1153,Madurai Medical College,Madurai,9.9252,78.1198,Blood Bag (O+ Positive),Blood Bank,81,20,Normal,2027-02-11
HOSP-1154,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Ventilator Circuit,Equipment,1,15,CRITICAL,2026-12-20
HOSP-1155,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,N95 Masks,PPE,592,300,Normal,2026-07-22
HOSP-1156,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Blood Bag (O+ Positive),Blood Bank,36,20,Normal,2026-10-25
HOSP-1157,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Paracetamol IV,Medicine,702,200,Normal,2026-04-16
HOSP-1158,Thanjavur Medical College,Thanjavur,10.787,79.1378,Ventilator Circuit,Equipment,63,15,Normal,2026-03-28
HOSP-1159,Madurai Medical College,Madurai,9.9252,78.1198,Oxygen Cylinder (B-Type),Respiratory,10,50,CRITICAL,2027-07-02
HOSP-1160,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Remdesivir Injection,Medicine,30,100,CRITICAL,2027-09-09
HOSP-1161,Salem Govt Hospital,Salem,11.6643,78.146,N95 Masks,PPE,694,300,Normal,2027-07-20
HOSP-1162,Salem Govt Hospital,Salem,11.6643,78.146,N95 Masks,PPE,1349,300,Normal,2027-04-04
HOSP-1163,Coimbatore Medical College,Coimbatore,11.0168,76.9558,N95 Masks,PPE,434,300,Normal,2027-06-20
HOSP-1164,Coimbatore Medical College,Coimbatore,11.0168,76.9558,N95 Masks,PPE,790,300,Normal,2027-04-13
HOSP-1165,Madurai Medical College,Madurai,9.9252,78.1198,Surgical Gloves (Sterile),Consumables,1514,500,Normal,2027-10-28
HOSP-1166,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Blood Bag (O+ Positive),Blood Bank,5,20,CRITICAL,2027-01-22
HOSP-1167,Madurai Medical College,Madurai,9.9252,78.1198,Surgical Gloves (Sterile),Consumables,1948,500,Normal,2026-02-17
HOSP-1168,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Paracetamol IV,Medicine,429,200,Normal,2027-02-24
HOSP-1169,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Remdesivir Injection,Medicine,277,100,Normal,2026-04-13
HOSP-1170,Thanjavur Medical College,Thanjavur,10.787,79.1378,Insulin Vials,Medicine,210,150,Normal,2026-10-11
HOSP-1171,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Blood Bag (O+ Positive),Blood Bank,86,20,Normal,2026-07-20
HOSP-1172,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Paracetamol IV,Medicine,933,200,Normal,2027-08-26
HOSP-1173,Madurai Medical College,Madurai,9.9252,78.1198,Remdesivir Injection,Medicine,3,100,CRITICAL,2026-07-10
HOSP-1174,Madurai Medical College,Madurai,9.9252,78.1198,Paracetamol IV,Medicine,529,200,Normal,2027-10-20
HOSP-1175,Thanjavur Medical College,Thanjavur,10.787,79.1378,Insulin Vials,Medicine,82,150,CRITICAL,2026-07-04
HOSP-1176,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Oxygen Cylinder (B-Type),Respiratory,142,50,Normal,2026-04-09
HOSP-1177,Coimbatore Medical College,Coimbatore,11.0168,76.9558,N95 Masks,PPE,430,300,Normal,2027-07-08
HOSP-1178,Salem Govt Hospital,Salem,11.6643,78.146,N95 Masks,PPE,1103,300,Normal,2026-05-24
HOSP-1179,Govt Hospital Srivilliputhur,Srivilliputhur,9.5105,77.633,Paracetamol IV,Medicine,23,200,CRITICAL,2027-03-18
HOSP-1180,Salem Govt Hospital,Salem,11.6643,78.146,Paracetamol IV,Medicine,461,200,Normal,2026-11-20
HOSP-1181,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Paracetamol IV,Medicine,186,200,CRITICAL,2026-10-24
HOSP-1182,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Blood Bag (O+ Positive),Blood Bank,70,20,Normal,2027-04-03
HOSP-1183,Coimbatore Medical College,Coimbatore,11.0168,76.9558,Insulin Vials,Medicine,211,150,Normal,2027-04-03
HOSP-1184,Salem Govt Hospital,Salem,11.6643,78.146,Blood Bag (O+ Positive),Blood Bank,65,20,Normal,2026-08-10
HOSP-1185,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,N95 Masks,PPE,1066,300,Normal,2026-03-14
HOSP-1186,Salem Govt Hospital,Salem,11.6643,78.146,Remdesivir Injection,Medicine,295,100,Normal,2026-03-06
HOSP-1187,Coimbatore Medical College,Coimbatore,11.0168,76.9558,N95 Masks,PPE,1069,300,Normal,2026-04-13
HOSP-1188,Madurai Medical College,Madurai,9.9252,78.1198,Remdesivir Injection,Medicine,333,100,Normal,2026-12-31
HOSP-1189,Madurai Medical College,Madurai,9.9252,78.1198,Oxygen Cylinder (B-Type),Respiratory,170,50,Normal,2027-04-06
HOSP-1190,Tirunelveli Medical College,Tirunelveli,8.7139,77.7567,Insulin Vials,Medicine,140,150,CRITICAL,2027-09-20
HOSP-1191,Madurai Medical College,Madurai,9.9252,78.1198,N95 Masks,PPE,301,300,Normal,2027-07-23
HOSP-1192,Salem Govt Hospital,Salem,11.6643,78.146,Oxygen Cylinder (B-Type),Respiratory,194,50,Normal,2026-02-07
HOSP-1193,Madurai Medical College,Madurai,9.9252,78.1198,Surgical Gloves (Sterile),Consumables,590,500,Normal,2026-07-29
HOSP-1194,Thanjavur Medical College,Thanjavur,10.787,79.1378,Oxygen Cylinder (B-Type),Respiratory,227,50,Normal,2027-04-04
HOSP-1195,Salem Govt Hospital,Salem,11.6643,78.146,Surgical Gloves (Sterile),Consumables,1086,500,Normal,2027-10-29
HOSP-1196,Rajiv Gandhi Govt General Hospital,Chennai,13.0827,80.2707,Blood Bag (O+ Positive),Blood Bank,3,20,CRITICAL,2026-04-17
HOSP-1197,Salem Govt Hospital,Salem,11.6643,78.146,Insulin Vials,Medicine,669,150,Normal,2026-09-28
HOSP-1198,Salem Govt Hospital,Salem,11.6643,78.146,Paracetamol IV,Medicine,215,200,Normal,2027-08-21
HOSP-1199,Thanjavur Medical College,Thanjavur,10.787,79.1378,Remdesivir Injection,Medicine,43,100,CRITICAL,2026-08-25
HOSP-1200,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Oxygen Cylinder (B-Type),Respiratory,57,50,Normal,2026-01-23
HOSP-1201,Apollo Speciality Hospitals,Trichy,10.7905,78.7047,Oxygen Cylinder (B-Type),Respiratory,68,50,Normal,2027-03-25
HOSP-1202,Madurai Medical College,Madurai,9.9252,78.1198,Oxygen Cylinder (B-Type),Respiratory,185,50,Normal,2027-05-22
